1380100000,City of Caloocan,City
1380200000,City of Las Piñas,City
1380300000,City of Makati,City
1380400000,City of Malabon,City
1380500000,City of Mandaluyong,City
1380600000,City of Manila,City
1380601000,Tondo I/II,SubMun
1380602000,Binondo,SubMun
1380603000,Quiapo,SubMun
1380604000,San Nicolas,SubMun
1380605000,Santa Cruz,SubMun
1380606000,Sampaloc,SubMun
1380607000,San Miguel,SubMun
1380608000,Ermita,SubMun
1380609000,Intramuros,SubMun
1380610000,Malate,SubMun
1380611000,Paco,SubMun
1380612000,Pandacan,SubMun
1380613000,Port Area,SubMun
1380614000,Santa Ana,SubMun
1380700000,City of Marikina,City
1380800000,City of Muntinlupa,City
1380900000,City of Navotas,City
1381000000,City of Parañaque,City
1381100000,Pasay City,City
1381200000,City of Pasig,City
1381300000,Quezon City,City
1381400000,City of San Juan,City
1381500000,City of Taguig,City
1381600000,City of Valenzuela,City
1381701000,Pateros,Mun
1400101000,Bangued ,Mun
1400102000,Boliney,Mun
1400103000,Bucay,Mun
1400104000,Bucloc,Mun
1400105000,Daguioman,Mun
1400106000,Danglas,Mun
1400107000,Dolores,Mun
1400108000,La Paz,Mun
1400109000,Lacub,Mun
1400110000,Lagangilang,Mun
1400111000,Lagayan,Mun
1400112000,Langiden,Mun
1400113000,Licuan-Baay,Mun
1400114000,Luba,Mun
1400115000,Malibcong,Mun
1400116000,Manabo,Mun
1400117000,Peñarrubia,Mun
1400118000,Pidigan,Mun
1400119000,Pilar,Mun
1400120000,Sallapadan,Mun
1400121000,San Isidro,Mun
1400122000,San Juan,Mun
1400123000,San Quintin,Mun
1400124000,Tayum,Mun
1400125000,Tineg,Mun
1400126000,Tubo,Mun
1400127000,Villaviciosa,Mun
1401101000,Atok,Mun
1401103000,Bakun,Mun
1401104000,Bokod,Mun
1401105000,Buguias,Mun
1401106000,Itogon,Mun
1401107000,Kabayan,Mun
1401108000,Kapangan,Mun
1401109000,Kibungan,Mun
1401110000,La Trinidad ,Mun
1401111000,Mankayan,Mun
1401112000,Sablan,Mun
1401113000,Tuba,Mun
1401114000,Tublay,Mun
1402701000,Banaue,Mun
1402702000,Hungduan,Mun
1402703000,Kiangan,Mun
1402704000,Lagawe ,Mun
1402705000,Lamut,Mun
1402706000,Mayoyao,Mun
1402707000,Alfonso Lista,Mun
1402708000,Aguinaldo,Mun
1402709000,Hingyon,Mun
1402710000,Tinoc,Mun
1402711000,Asipulo,Mun
1403201000,Balbalan,Mun
1403206000,Lubuagan,Mun
1403208000,Pasil,Mun
1403209000,Pinukpuk,Mun
1403211000,Rizal,Mun
1403213000,City of Tabuk ,City
1403214000,Tanudan,Mun
1403215000,Tinglayan,Mun
1404401000,Barlig,Mun
1404402000,Bauko,Mun
1404403000,Besao,Mun
1404404000,Bontoc ,Mun
1404405000,Natonin,Mun
1404406000,Paracelis,Mun
1404407000,Sabangan,Mun
1404408000,Sadanga,Mun
1404409000,Sagada,Mun
1404410000,Tadian,Mun
1408101000,Calanasan,Mun
1408102000,Conner,Mun
1408103000,Flora,Mun
1408104000,Kabugao ,Mun
1408105000,Luna,Mun
1408106000,Pudtol,Mun
1408107000,Santa Marcela,Mun
1430300000,City of Baguio,City
0102801000,Adams,Mun
0102802000,Bacarra,Mun
0102803000,Badoc,Mun
0102804000,Bangui,Mun
0102805000,City of Batac,City
0102806000,Burgos,Mun
0102807000,Carasi,Mun
0102808000,Currimao,Mun
0102809000,Dingras,Mun
0102810000,Dumalneg,Mun
0102811000,Banna,Mun
0102812000,City of Laoag ,City
0102813000,Marcos,Mun
0102814000,Nueva Era,Mun
0102815000,Pagudpud,Mun
0102816000,Paoay,Mun
0102817000,Pasuquin,Mun
0102818000,Piddig,Mun
0102819000,Pinili,Mun
0102820000,San Nicolas,Mun
0102821000,Sarrat,Mun
0102822000,Solsona,Mun
0102823000,Vintar,Mun
0102901000,Alilem,Mun
